ConstructName,SubjectName,QuestionText,AnswerText,MisconceptionText,CorrectAnswerText,MisconceptionID
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.9 to a percentage,9%,Does not understand a percentage is out of 100,90%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.075 to a percentage,0.75%,Multiplies by 10 instead of 100 when converting decimal to percentage,7.5%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 6 \\
\hline 1 & 7 \\
\hline 2 & 8 \\
\hline 3 & 4 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,2,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 13cm and perpendicular height 6cm.](),19cm²,Adds when calculating area instead of multiplying,78cm²,828
"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,The area of this trapezium is 54cm². What is the value of a? ![A trapezium with the parallel sides labelled with 6cm and a and the height labelled with 9cm](),18cm,Does not divide by 2 when calculating the area of a trapezium,6cm,2353
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=9x-7. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 11 \) \\
\end{tabular}]()",9,Mixes up the value of two terms when substituting,2,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular nonagon (9 sided polygon)](),1,Does not know how to find order of rotational symmetry,9,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 11 equal sections labelled 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 and 11.]()",1,Does not understand that a probability of 1 represents something that is certain,11,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.33 to a percentage,3.3%,Does not understand a percentage is out of 100,33%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.55 to a percentage,5.5%,Multiplies by 10 instead of 100 when converting decimal to percentage,55%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 5 \\
\hline 1 & 12 \\
\hline 2 & 6 \\
\hline 3 & 2 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 14cm and perpendicular height 7cm.](),21cm²,Adds when calculating area instead of multiplying,98cm²,828
"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,The area of this trapezium is 48cm². What is the value of a? ![A trapezium with the parallel sides labelled with 8cm and a and the height labelled with 6cm](),16cm,Does not divide by 2 when calculating the area of a trapezium,8cm,2353
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=10x-6. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 14 \) \\
\end{tabular}]()",10,Mixes up the value of two terms when substituting,4,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A parallelogram](),4,Does not know how to find order of rotational symmetry,2,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 4 equal sections labelled 1, 2, 3 and 4.]()",1,Does not understand that a probability of 1 represents something that is certain,4,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.11 to a percentage,1.1%,Does not understand a percentage is out of 100,11%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.025 to a percentage,0.25%,Multiplies by 10 instead of 100 when converting decimal to percentage,2.5%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 7 \\
\hline 1 & 6 \\
\hline 2 & 9 \\
\hline 3 & 3 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,2,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 9cm and perpendicular height 11cm.](),20cm²,Adds when calculating area instead of multiplying,99cm²,828
Solve problems involving adding a period of time on to a given start time,Time,"A train takes 1 hour 10 minutes to complete a journey from London to Brighton. If the train leaves London at 10:20, what time does it arrive in Brighton?",11:20,Does not adjust the hour for “to” times,11:30,685
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=4x+2. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 10 \) \\
\end{tabular}]()",4,Mixes up the value of two terms when substituting,6,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular hexagon](),3,Does not know how to find order of rotational symmetry,6,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 6 equal sections labelled 1, 2, 3, 4, 5 and 6.]()",1,Does not understand that a probability of 1 represents something that is certain,6,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.01 to a percentage,0.1%,Does not understand a percentage is out of 100,1%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.012 to a percentage,0.12%,Multiplies by 10 instead of 100 when converting decimal to percentage,1.2%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 6 \\
\hline 1 & 7 \\
\hline 2 & 5 \\
\hline 3 & 7 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1 and 3,2470
"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,The area of this trapezium is 72cm². What is the value of a? ![A trapezium with the parallel sides labelled with 12cm and a and the height labelled with 6cm](),24cm,Does not divide by 2 when calculating the area of a trapezium,8cm,2353
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=11x-8. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 14 \) \\
\end{tabular}]()",11,Mixes up the value of two terms when substituting,3,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular octagon](),4,Does not know how to find order of rotational symmetry,8,2355
Identify the outcomes of a single event,Probability of Single Events,This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 2 equal sections labelled 1 and 2.](),1,Does not understand that a probability of 1 represents something that is certain,2,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.1 to a percentage,1%,Does not understand a percentage is out of 100,10%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.03 to a percentage,0.3%,Multiplies by 10 instead of 100 when converting decimal to percentage,3%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 10 \\
\hline 1 & 7 \\
\hline 2 & 6 \\
\hline 3 & 2 \\
\hline
\end{tabular}]()",1,Believes the mode is the most common frequency rather than the highest frequency,0,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 16cm and perpendicular height 4cm.](),20cm²,Adds when calculating area instead of multiplying,64cm²,828
